shipment_id,customer_id,origin,destination,weight,volume,carrier,mode,status,arrival_date,departure_date,delivered_date
4000000,20053,CT,SLU,32384,59066,FEDEX,sea,intransit,2025-01-07,2025-02-26,
4000001,20904,DE,ANU,60638,1382376,AMAZON,air,intransit,2025-02-04,2025-02-21,
4000002,28151,SC,SVG,87423,546976,AMAZON,air,received,2025-02-11,,
4000003,31554,MN,SLU,92587,1070628,UPS,air,intransit,2025-02-08,2025-03-03,
4000004,14299,AK,FSXM,19171,1340346,USPS,sea,delivered,2025-01-31,2025-03-28,2025-04-04
4000005,27146,WA,GRD,31196,302069,UPS,sea,intransit,2025-03-20,2025-03-23,
4000006,13715,NY,FSXM,63932,1547611,UPS,air,intransit,2025-02-19,2025-03-06,
4000007,22144,NC,SLU,18638,649619,AMAZON,air,intransit,2025-02-09,2025-03-03,
4000008,25341,IL,SXM,47713,271302,UPS,sea,delivered,2025-03-23,2025-03-26,2025-04-04
4000009,13411,AK,BIM,99765,1617452,AMAZON,sea,intransit,2025-02-04,2025-02-26,
4000010,30324,NJ,DOM,81174,461756,USPS,sea,intransit,2025-02-12,2025-03-10,
4000011,24817,NY,SXM,81500,1500382,FEDEX,air,intransit,2025-02-03,2025-02-11,
4000012,13327,OR,GRD,37836,1934158,DHL,air,intransit,2025-02-16,2025-03-09,
4000013,20660,OH,SXM,20250,344498,UPS,sea,intransit,2025-03-20,2025-03-25,
4000014,17807,NJ,GRD,61033,694055,AMAZON,sea,received,2025-02-25,,
4000015,24233,CO,GRD,24483,1922648,AMAZON,sea,delivered,2025-03-22,2025-03-23,2025-03-30
4000016,25280,WA,SXM,81494,1939415,AMAZON,sea,received,2025-02-25,,
4000017,33561,AZ,GUY,28552,1682869,UPS,air,delivered,2025-02-04,2025-03-28,2025-03-29
4000018,12874,AL,ANU,62170,594898,AMAZON,air,delivered,2025-01-19,2025-02-04,2025-03-18
4000019,14280,KY,GUY,39699,1871524,FEDEX,sea,received,2025-02-04,,
4000020,29469,HI,ANU,7824,1900061,UPS,sea,received,2025-03-18,,
4000021,23813,NJ,ANU,36277,1475643,DHL,air,received,2025-03-05,,
4000022,13627,MA,GRD,55465,1208829,FEDEX,sea,delivered,2025-03-13,2025-03-15,2025-04-04
4000023,14663,NV,FSXM,5614,200452,UPS,air,delivered,2025-02-04,2025-02-17,2025-03-22
4000024,31824,ND,BIM,15278,1986886,UPS,sea,received,2025-03-02,,
4000025,10119,MN,SVG,32621,1332267,AMAZON,sea,delivered,2025-02-12,2025-02-13,2025-03-13
4000026,11266,MO,SLU,34311,1010966,AMAZON,air,received,2025-02-24,,
4000027,11082,MD,DOM,23038,758115,DHL,air,intransit,2025-02-01,2025-03-25,
4000028,25258,RI,FSXM,60042,1705892,FEDEX,air,intransit,2025-02-20,2025-03-27,
4000029,15088,ND,SXM,21242,529792,UPS,air,received,2025-02-22,,
4000030,15548,MD,SLU,56273,295026,USPS,air,intransit,2025-03-28,,
4000031,22322,MT,GUY,5449,432815,AMAZON,sea,intransit,2025-02-26,2025-03-13,
4000032,19820,TX,FSXM,86460,1708751,USPS,sea,intransit,2025-03-19,2025-03-21,
4000033,31641,NC,SLU,47373,153156,AMAZON,sea,delivered,2025-01-09,2025-02-28,2025-03-21
4000034,18620,MN,SVG,74171,1894630,DHL,air,intransit,2025-02-08,2025-03-19,
4000035,15746,OR,FSXM,28907,462000,DHL,air,intransit,2025-03-13,2025-03-28,
4000036,32387,WY,BIM,21571,580185,FEDEX,sea,intransit,2025-02-10,2025-02-23,
4000037,23493,MD,FSXM,24616,1965271,DHL,sea,delivered,2025-03-30,,
